Ajit Narayanan	Ajit Narayanan (born August 21, 1981) is the inventor of FreeSpeech, a picture language with a deep grammatical structure. He's also the inventor of Avaz, India's first Augmentative and Alternative Communication device for children with disabilities.
Al Gore	not found
Al Seckel	Alfred Paul "Al" Seckel (September 3, 1958 – 2015) was an American collector and popularizer of visual and other types of sensory illusions, who wrote books about them.  Active in the Freethought movement as a skeptic in the 1980s, he was the co-founder and executive director of the Southern California Skeptics.
Al Vernacchio	not found
Alaa Murabit	Alaa Murabit  (Arabic: آلاء المرابط; born 26 October 1989) is a Libyan-Canadian physician, Meritorious Service Cross recipient, one of 17 Global Sustainable Development Goals Advocates appointed by the Secretary-General of the United Nations, and a UN High-Level Commissioner on Health Employment and Economic growth. In 2019 Murabit was selected as one of the Top 20 of the World's 100 Most Influential People in Gender Policy alongside Ruth Bader Ginsburg, Melinda Gates, and Michelle Obama.
Alainde Botton	Alain de Botton  (; born 20 December 1969) is a Swiss-born British philosopher and author. His books discuss various contemporary subjects and themes, emphasizing philosophy's relevance to everyday life.
Alan Eustace	Robert Alan Eustace (born 1956/1957) is an American computer scientist who served as Senior Vice President of Engineering at Google until retiring in 2015.  On October 24, 2014, he made a free-fall jump from the stratosphere, breaking Felix Baumgartner's world record.
Alan Kay	Alan Curtis Kay (born May 17, 1940) is an American computer scientist. He has been elected a Fellow of the American Academy of Arts and Sciences, the National Academy of Engineering, and the Royal Society of Arts.
Alan Russell	Alan Russell (born June 4, 1956) is an American novelist.


== Early life and education ==
Russell was the youngest of four children of Mark E. Russell and Carolyn Lois Russell.
Alan Siegel	Alan Siegel (born August 26, 1938) is the CEO of Siegelvision, a brand identity consultancy. He is the founder and chairman emeritus of the global brand strategy firm Siegel+Gale.
Alan Smith	ambiguous
Alanna Shaikh	not found
Alastair Parvin	WikiHouse is an open-source project for designing and building houses. It endeavours to democratise and simplify the construction of sustainable, resource-light dwellings.
Alberto Cairo	Alberto Cairo (born 1974 in A Coruña) is a Spanish information designer and professor. Cairo is the Knight Chair in Visual Journalism at the School of Communication of the University of Miami.
Alec Soth	Alec Soth (born 1969) is an American photographer, based in Minneapolis. Soth makes "large-scale American projects" featuring the midwestern United States.
Alejandro Alvarado	Alejandro Alvarado Jr. (born July 29, 2003) is an American professional soccer player who plays as a midfielder for F.C. Vizela in the Primeira Liga.
Alejandro Aravena	Alejandro Gastón Aravena Mori (born 22 June 1967) is a Chilean architect and executive director of the firm Elemental S.A.  He won the Pritzker Architecture Prize in 2016, and was the director and curator of the Architecture Section of the 2016 Venice Biennale.


== Education and career ==
Aravena graduated from the Pontifical Catholic University of Chile in 1992, He continued his studies of Theory and Art History in Università Iuav di Venezia in Venice, Italy (1992–93) and established Alejandro Aravena Architects in 1994.
Alessandra Orofino	not found
Alessandro Acquisti	Phishing is a type of social engineering where an attacker sends a fraudulent (e.g., spoofed, fake, or otherwise deceptive) message designed to trick a person into revealing sensitive information to the attacker or to deploy malicious software on the victim's infrastructure like ransomware. Phishing attacks have become increasingly sophisticated and often transparently mirror the site being targeted, allowing the attacker to observe everything while the victim is navigating the site, and transverse any additional security boundaries with the victim.
Alex Kipman	not found
Alex Laskey	Opower was an American company founded in 2007, that provides a software-as-a-service customer engagement platform for utilities. It existed as an independent corporation until its acquisition by Oracle Corporation in 2016.
Alex Steffen	Alex Steffen (born c. 1968) is an American futurist who writes and speaks about sustainability and the future of the planet.
Alex Tabarrok	Alexander Taghi Tabarrok (born November 11, 1966) is a Canadian-American economist. With Tyler Cowen, he co-authors the economics blog Marginal Revolution.
Alex Wissner Gross	Intelligence has been defined in many ways: the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving. More generally, it can be described as the ability to perceive or infer information, and to retain it as knowledge to be applied towards adaptive behaviors within an environment or context.
Alexa Meade	Alexa Meade (born 1986) is an American installation artist best known for her portraits painted directly onto the human body and inanimate objects in a way that collapses depth and makes her models appear two-dimensional when photographed. What remains is "a photo of a painting of a person, and the real person hidden somewhere underneath." She takes a classical concept – trompe-l'œil, the art of making a two-dimensional representational painting look like a real three-dimensional space – and does the opposite, making real life appear to be a painting.
Alexander Betts	ambiguous
Alexander Tsiaras	Alexander Tsiaras is an American photographer, entrepreneur, technology innovator, and journalist whose work has appeared on the cover of over 150 magazines and is the founder, CEO, and editor-in-chief of TheVisualMD and StoryMD.Tsiaras’ awards include the World Press Award, Webby Award, and the Satava Award for his work on improving medicine through advanced technology, and his work has been featured on the covers of Time, the New York Times Magazine, Smithsonian, Life magazine, and the London Sunday Times Magazine.Tsiaras is a prolific speaker who has lectured and keynoted conferences, including the National Library of Medicine (NLM/NIH) Scientific Visualization Conference, TED, TEDMED, Ink Conference (in association with TED India), Google Health Conference "ThinkHealth 2012", and Medicine Meets Virtual Reality (MMVR). He has lectured with Stephen Hawking at the MIT Media Lab.Some of his most notable publications include From Conception to Birth: A Life Unfolds, Architecture and Design of Man and Woman, and the InVision Guides to Healthy Heart, Sexual Health and Life Blood.
Alexis Ohanian	Alexis Kerry Ohanian (Armenian: Ալեքսիս Քերի Օհանյան; born April 24, 1983) is an American-Armenian internet entrepreneur and investor. He is best known as the co-founder and executive chairman of the social media site Reddit along with Steve Huffman and Aaron Swartz.
Ali Carr Chellman	not found
Alice Bows Larkin	Alice Larkin (previous married name Bows) is Head of the School of Engineering at the University of Manchester and a Professor of Climate Science and Energy Policy. She works on carbon budgets and cumulative emissions.
Alice Dreger	Alice Domurat Dreger () is an American historian, bioethicist, author, and former professor of clinical medical humanities and bioethics at the Feinberg School of Medicine, Northwestern University in Chicago, Illinois.Dreger engages in academic work and activism in support of individuals born with atypical sex characteristics (intersex or disorders of sex development) and individuals born as conjoined twins. She challenges the perception that those with physical differences are somehow "broken" and need to be "fixed".
Alice Goffman	Alice Goffman (born 1982) is an American sociologist, urban ethnographer, and was formerly Assistant Professor of Sociology at the University of Wisconsin and Visiting Assistant Professor of Sociology at Pomona College.Goffman is the author of On the Run: Fugitive Life in an American City about over-policing, poverty, and incarceration experienced by young black men and their families in Philadelphia, a best-selling book for which she received widespread praise before it was widely criticized. She was denied tenure at Wisconsin in 2019.
Alice Rawsthorn	Alice Rawsthorn OBE (born 1958 in Manchester) is a British design critic and author. Her books include Design as an Attitude (2018) and Hello World: Where Design Meets Life (2013).
Alicia Garzaand Patrisse Cullorsand Opal Tometi	not found
Alisa Miller	Alice O'Connor (born Alisa Zinovyevna Rosenbaum; February 2 [O.S. January 20], 1905 – March 6, 1982), better known by her pen name Ayn Rand (), was a Russian-born American writer and philosopher. She is known for her fiction and for developing a philosophical system she named Objectivism.
Alison Gopnik	Alison Gopnik (born June 16, 1955) is an American professor of psychology and affiliate professor of philosophy at the University of California, Berkeley. She is known for her work in the areas of cognitive and language development, specializing in the effect of language on thought, the development of a theory of mind, and causal learning.
Alison Jackson	ambiguous
Alison Killing	Alison Killing is a British architect and urban designer. In 2010, she founded a studio for design and research in the field of architecture named Killing Architects.
Alix Generous	not found
Allan Adams	not found
Allan Jones	not found
Allan Savory	Clifford Allan Redin Savory (born 15 September 1935) is a Zimbabwean scientist, livestock farmer, and president and co-founder of the Savory Institute. He originated Holistic management, a systems thinking approach to managing resources.
Allison Hunt	Major (Ret.) Owen Hunt, M.D., F.A.C.S. is a fictional character from the medical drama television series Grey's Anatomy, which airs on the American Broadcasting Company (ABC) in the United States. The character was created by series' producer Shonda Rhimes, and is portrayed by Scottish actor Kevin McKidd.
Alwar Balasubramaniam	Alwar Balasubramaniam (born 1971 in Tamil Nadu, India) also known as “Bala,” is an Indian artist works in a variety of mediums such as sculpture, painting and printmaking. His work, ranging in subjects from the body and its material relationship with the world to the shadow of a shadow, has been the subject of international acclaim, and has been featured in museums and exhibitions worldwide.
Alyson Mc Gregor	not found
Alyssa Monks	Alyssa Monks (born 1977) is an American painter currently based in Brooklyn. She specializes in large oil paintings and is recognized both in the United States and Europe for her work featuring figures obscured by water, steam, and vinyl.
Amanda Bennett	Amanda Bennett (born July 9, 1952) is an American journalist and author. She was the director of Voice of America from 2016 to 2020.
Amanda Palmer	not found
Amber Case	Amber Case (born Portland, Oregon) is an American cyborg anthropologist, user experience designer and public speaker. She studies the interaction between humans and technology.
Ameenah Gurib Fakim	Dr. Bibi Ameenah Firdaus Gurib-Fakim (Mauritian Creole pronunciation: [bibi amina fiːədos ɡəʁib fakim]) GCSK (born 17 October 1959) is a Mauritian politician and biodiversity scientist who served as the sixth president of Mauritius from 2015 to 2018.
Ameera Harouda	not found
Ami Klin	Ami Klin is an American psychologist who studies autism. He is the first chief of autism and related disorders at the Marcus Autism Center, a wholly owned subsidiary of Children’s Healthcare of Atlanta.
Amit Sood	Amit Sood, known as the "Happiness Doctor", is the founder and executive director of the Global Center for Resiliency and Wellbeing. Formerly, he was a professor of medicine at Mayo Clinic College of Medicine, Rochester, Minnesota, and  chair of the Mayo Mind Body Initiative.
Amory Lovins	Amory Bloch Lovins (born November 13, 1947) is an American writer, physicist, and former chairman/chief scientist of the Rocky Mountain Institute. He has written on energy policy and related areas for four decades, and served on the US National Petroleum Council, an oil industry lobbying group, from 2011 to 2018.Lovins has promoted energy efficiency, the use of renewable energy sources, and the generation of energy at or near the site where the energy is actually used.
Amos Winter	not found
Amy Adele Hasinoff	Sexting is sending, receiving, or forwarding sexually explicit messages, photographs, or videos, primarily between mobile phones. It may also include the use of a computer or any digital device.
Amy Cuddy	Amy Joy Casselberry Cuddy (born July 23, 1972) is an American social psychologist, author and speaker. She is a proponent of "power posing", a self-improvement technique whose scientific validity has been questioned.
Amy Green	Various characters appeared in the sitcom Friends and its spin-off series Joey, which respectively aired for ten seasons and two seasons on NBC from 1994 to 2006. Friends featured six main cast members:  Rachel Green-Geller (Jennifer Aniston), Monica Geller-Bing (Courteney Cox), Phoebe Buffay-Hannigan (Lisa Kudrow), Joey Tribbiani (Matt LeBlanc), Chandler Bing (Matthew Perry), and Ross Geller (David Schwimmer), while Joey featured LeBlanc in the title role reprising his role as Tribbiani alongside Gina Tribbiani (Drea de Matteo), Alex Garrett (Andrea Anders), Michael Tribbiani (Paulo Costanzo), Bobbie Morganstern (Jennifer Coolidge), Zach Miller (Miguel A. Núñez Jr.), and Howard (Ben Falcone).
Amy Lockwood	Amy Davidson is an American actress. She is known for playing Kerry Hennessy in the ABC sitcom 8 Simple Rules.
Amy Purdy	Amelia Michelle "Amy" Purdy (born November 7, 1979) is an American actress, model, para-snowboarder, motivational speaker, clothing designer and author. Purdy is a 2014 Paralympic bronze medalist, 2018 Paralympics silver medalist, and co-founder of Adaptive Action Sports.
Amy Smith	ambiguous
Amy Tan	not found
Amy Webb	not found
Anand Agarawala	not found
Anand Giridharadas	Anand Giridharadas () is an American journalist and political pundit. He is a former columnist for The New York Times.
Anand Varma	Adithya Varma is a 2019 Indian Tamil-language romantic drama film directed by Gireesaaya in his directorial debut and produced by Mukesh Mehta under E4 Entertainment. The film stars Dhruv Vikram in his acting debut and Banita Sandhu in her Tamil debut, while Priya Anand appears in a supporting role.
Ananda Shankar	Ananda Shankar (11 December 1942 – 26 March 1999) was an Indian musician, singer, and composer best known for fusing Western and Eastern musical styles. He was married to dancer and choreographer Tanusree Shankar.
Anant Agarwal	Anant Agarwal is an Indian computer architecture researcher. He is a professor of Electrical Engineering and Computer Science at the Massachusetts Institute of Technology (MIT), where he led the development of Alewife, an early cache coherent multiprocessor, and also has served as director of the MIT Computer Science and Artificial Intelligence Laboratory.
Anas Aremeyaw Anas	Anas Aremeyaw Anas, better known as Anas, is a Ghanaian investigative journalist born in the late 1970s.  He utilizes his anonymity as a tool in his investigative journalism work.
Anastasia Taylor Lind	Anastasia Taylor-Lind (born 1981) is an English/Swedish photojournalist. She works for leading editorial publications globally on issues relating to women, population and war.
Anders Fjellberg	not found
Anders Ynnerman	The IEEE Visualization Conference (VIS) is an annual conference on scientific visualization, information visualization, and visual analytics administrated by the IEEE Computer Society Technical Committee on Visualization and Graphics. As ranked by Google Scholar's h-index metric in 2016, VIS is the highest rated venue for visualization  research and the second-highest rated conference for computer graphics over all.
Andras Forgacs	András Forgács (born 28 August 1985, in Budapest) is a Hungarian football (defender) player who currently plays for Budaörsi SC.
Andrea Ghez	not found
Andreas Ekstrom	Per Olof Andreas Norlén (Swedish pronunciation: [anˈdrêːas nʊˈɭeːn]; born 6 May 1973) is a Swedish Moderate Party politician who has served as Speaker of the Riksdag since September 2018. He has been a Member of the Riksdag (MP) for Östergötland County since October 2006.
Andreas Raptopoulos	This is a list of Greek writers.
Andres Lozano	Andrés Lozano Lozano (born 15 February 1970) is a Mexican lawyer and politician affiliated with the Party of the Democratic Revolution. As of 2014 he served as Deputy of the LX Legislature of the Mexican Congress representing the Federal District.
Andres Ruzo	Andrés Ruzo is a geoscientist, conservationist, author, science communicator and educator, who became the first scientist granted permission to study the Boiling River of the Amazon in 2011.
And in 2002, he was awarded with the National Geographic Young Explorer Grantee.
Andrew Bastawrous	The Royal Photographic Society of Great Britain, commonly known as the Royal Photographic Society (RPS), is one of the world's oldest photographic societies. It was founded in London, England, in 1853 as the Photographic Society of London with the objective of promoting the art and science of photography, and in 1853 received royal patronage from Queen Victoria and Prince Albert.A change to the society's name to reflect the patronage was, however, not considered expedient at the time.
Andrew Bird	Andrew Wegman Bird (born July 11, 1973) is an American indie rock multi-instrumentalist, singer, and songwriter. Since 1996, he has released 16 studio albums, as well as several live albums and EPs, spanning various genres including swing music, indie rock, and folk music.
Andrew Blum	Andrew Blum is an American author and journalist. He writes about architecture, design, technology, urbanism, art, and travel.
Andrew Connolly	Andrew Connolly (born 30 November 1965) is an Irish stage and screen actor and director.


== Biography ==
Connolly was born in Dublin, Ireland in 1965 and was raised in the Finglas and Ringsend areas.At sixteen years old he left school for a seven-month stint in the Merchant Navy, and later served eighteen months of "torture" in the Irish Navy before returning to Dublin, where he became involved in the Dublin Youth Theater.
Andrew Fitzgerald	Father Andrew Fitzgerald O.P (30 November 1763 – 14 December 1843) was a Dominican friar and professor of theology from Kilkenny, Ireland. He attended Kilkenny College, and University of Louvain.
Andrew Mc Afee	Andrew Paul McAfee (born c. 1967), a principal research scientist at MIT, is cofounder and codirector of the MIT Initiative on the Digital Economy at the MIT Sloan School of Management. He studies how digital technologies are changing the world.
Andrew Mwenda	Andrew Mwenda (born 1972) is a Ugandan print, radio and television journalist, and the founder and owner of The Independent, a current affairs newsmagazine. He was previously the political editor of The Daily Monitor, a Ugandan daily newspaper, and was the presenter of Andrew Mwenda Live on KFM Radio in Kampala, Uganda's capital city.
Andrew Pelling	Andrew John Pelling (born 20 August 1959) is a British politician. First elected as a Conservative he was an independent Member of Parliament for Croydon Central and on 30 March 2010 announced his intention to contest the seat as an Independent at the 2010 general election, but lost the seat to his former party.
Andrew Solomon	Andrew Solomon (born October 30, 1963) is a writer on politics, culture and psychology, who lives in New York City and London. He has written for The New York Times, The New Yorker, Artforum, Travel and Leisure, and other publications on a range of subjects, including depression, Soviet artists, the cultural rebirth of Afghanistan, Libyan politics, and Deaf politics.Solomon's book The Noonday Demon: An Atlas of Depression won the 2001 National Book Award, was a finalist for the 2002 Pulitzer Prize, and was included in The Times list of one hundred best books of the decade.
Andrew Youn	not found
Andy Hobsbawm	Andrew John Hobsbawm (born 12 June 1963) is an entrepreneur, writer and musician from London, England. He co-founded Online Magic, a British new media company, which was acquired by Omnicom in 1997.
Andy Puddicombe	Andy Puddicombe (born 23 September 1972) is a British author, public speaker and a teacher of meditation and mindfulness. He, alongside Richard Pierson, is the co-founder of Headspace, a digital health company that provides guided meditation training and mindfulness for its users.
Andy Yen	not found
Angela Belcher	Angela M. Belcher is a materials scientist, biological engineer, and the James Mason Crafts Professor of Biological Engineering and Materials Science at the Massachusetts Institute of Technology (MIT) in Cambridge, Massachusetts, United States. She is director of the Biomolecular Materials Group at MIT, a member of the Koch Institute for Integrative Cancer Research, and a 2004 MacArthur Fellow.
Angela Duckworth	Angela Lee Duckworth (born 1970) is an American academic, psychologist, and popular science author. She is the Rosa Lee and Egbert Chang Professor of Psychology at the University of Pennsylvania, where she studies grit and self-control.
Angela Patton	Angela Patton is a female activist and activator for "at-risk", or, as she prefers "at-promise", African-American girls. She is the founder of Camp Diva, and the CEO of Girls For A Change (GFAC) in 2012.
Angelica Dass	Angélica Dass (born 1979) is an award-winning Brazilian photographer based in Madrid, Spain and the creator of the photographic project Humanæ. With this project, she has created portraits of many different people from all over the world, showing a wide range of age groups, skin colors and personal backgrounds.
Angelo Vermeulen	Angelo Vermeulen (born 1971, Sint Niklaas) is a Belgian space systems researcher, biologist and artist. In 2009 he co-founded SEADS (Space Ecologies Art and Designs), an international transdisciplinary collective of artists, scientists, engineers, and activists   Its goal is to reshape the future through critical inquiry and hands-on experimentation.
Ani Liu	Articulate is an American weekly public television documentary series on the creative arts hosted by Irish-American journalist Jim Cotter.


== Background ==
Articulate profiles artists and how they interact with the world around them, with weekly 30-minute episodes on visual arts, crafts, ceramics, music, dance, photography, literature, and many other forms of art and expression.
Anil Ananthaswamy	Anil Ananthaswamy is an Indian author, and science journalist, who is currently a Knight Science Journalism Research fellow at the Massachusetts Institute of Technology. He has been a deputy news editor and staff writer for the London-based New Scientist science magazine.
Anil Gupta	ambiguous
Anjali Tripathi	Lavanya Tripathi (born 15 December 1990) is an Indian actress, model and dancer who predominantly works in Telugu films along with few Tamil films. She won Miss Uttarakhand title in 2006 and started working as a model.
Ann Cooper	ambiguous
Ann Marie Thomas	That Girl is an American sitcom that ran on ABC from September 8, 1966 to March 19, 1971. It starred Marlo Thomas as the title character Ann Marie, an aspiring (but only sporadically employed) actress, who moves from her hometown of Brewster, New York, to try to make it big in New York City.
Ann Morgan	Ann Morgan Guilbert (October 16, 1928 – June 14, 2016), sometimes credited as Ann Guilbert, was an American television and film actress and comedian who portrayed a number of roles from the 1950s on, most notably as Millie Helper in 61 episodes of the early 1960s sitcom The Dick Van Dyke Show, and later Yetta Rosenberg, Fran Fine's doddering grandmother, in 56 episodes of the 1990s sitcom The Nanny.


== Life and career ==
Guilbert was born in Minneapolis, Minnesota, the daughter of Dr.
Anna Deavere Smith	Anna Deavere Smith is an American actress, playwright, and professor. She is known for her roles as National Security Advisor Dr.
Anna Mracek Dietrich	not found
Anne Curzan	Anne Curzan is a professor at the University of Michigan, author of books on language, member of the American Heritage Dictionary Usage Panel, and co-host of That's What They Say on Michigan Radio.


== Biography ==
Curzan earned a BA in linguistics from Yale University (summa cum laude) and an MA and a PhD in English Language and Literature from the University of Michigan.
Anne Lamott	not found
Anne Marie Slaughter	Anne-Marie Slaughter (born September 27, 1958) is an American international lawyer, foreign policy analyst, political scientist and public commentator. From 2002 to 2009, she was the Dean of Princeton University's Woodrow Wilson School of Public and International Affairs and the Bert G. Kerstetter '66 University Professor of Politics and International Affairs.
Anne Milgram	Anne Melissa Milgram (born December 1, 1970) is an American attorney and academic who serves as the Administrator of the Drug Enforcement Administration.
As the 57th Attorney General of New Jersey from 2007 to 2010, she reformed the Camden Police Department and increased the use of technology and data analysis to fight crime and improve overall community safety.
Annette Heuser	In Our Time is a radio discussion programme exploring a wide variety of historical, scientific, cultural, religious and philosophical topics, broadcast on BBC Radio 4 in the United Kingdom since 1998 and hosted by Melvyn Bragg. Since 2011, all episodes have been available to download as individual podcasts.
Annie Lennox	Ann Lennox  (born 25 December 1954) is a Scottish singer-songwriter, political activist and philanthropist. After achieving moderate success in the late 1970s as part of the new wave band the Tourists, she and fellow musician Dave Stewart went on to achieve international success in the 1980s as Eurythmics.
Annie Murphy Paul	Anne Frances "Annie" Murphy (born December 19, 1986) is a Canadian actress. She is best known for her starring role as Alexis Rose in the CBC sitcom Schitt's Creek (2015–2020).
Anote Tong	Anote Tong (simplified Chinese: 汤安诺; traditional Chinese: 湯安諾; pinyin: Tāng Ānnuò; born 11 June 1952 in Tabuaeran, Line Islands) is an I-Kiribati politician for the Pillars of Truth party and environmental activist with half Chinese heritage, who served as President of Kiribati, from 2003 to 2016. He won the election in July 2003 with a slim plurality of votes cast (47.4%) against his older brother, Harry Tong (43.5%) and the private lawyer Banuera Berina (9.1%).
Anthony Atala	Anthony Atala, M.D., (born July 14, 1958) is an American bioengineer, urologist, and pediatric surgeon. He is the W.H. Boyce professor of urology, the founding director of the Wake Forest Institute for Regenerative Medicine, and the chair of the Department of Urology at Wake Forest School of Medicine in North Carolina.
Anthony D Romero	Anthony D. Romero (Born July 9, 1965) is the executive director of the American Civil Liberties Union. He assumed the position in 2001 as the first Latino and openly gay man to do so.
Anthony Goldbloom	Anthony John Goldbloom (born 21 June 1983) is the founder and CEO of Kaggle, a data science competition platform which has used predictive modelling competitions to solve problems for NASA, Wikipedia, Ford and Deloitte. Kaggle has improved the state of the art across a range of fields, including mapping dark matter  and HIV/AIDS research.
Antonio Damasio	Antonio Damasio (Portuguese: António Damásio) is a Portuguese-American neuroscientist. He is currently the David Dornsife Chair in Neuroscience, as well as Professor of Psychology, Philosophy, and Neurology, at the University of Southern California, and, additionally, an adjunct professor at the Salk Institute.
Antonio Guterres	not found
Antony Gormley	not found
Anupam Mishra	Anupam Mishra (1948 – 19 December 2016) was an Indian Gandhian, author, journalist, environmentalist, TED speaker, and water conservationist who worked on promoting water conservation, water management and traditional rainwater harvesting techniques. He had been awarded the 1996 Indira Gandhi Paryavaran Puraskar (IGPP) award instituted by the Ministry of Environment and Forests, Government of India.
Aomawa Shields	Aomawa L. Shields is an associate professor of physics and astronomy at UC Irvine. Her research is focused on exploring the climate and habitability of small exoplanets, using data from observatories including NASA's Kepler spacecraft.
Aparna Rao	Aparna Rao (February 3, 1950 – June 28, 2005) was a German anthropologist who performed studies on social groups in Afghanistan, France, and some regions of India. Her doctorate studies focused on anthropogeography, ethnology, and Islamic studies.
Apollo Robbins	Apollo Robbins (born May 23, 1974) is an American sleight-of-hand artist, security consultant, self-described gentleman thief and deception specialist. Forbes has called him "an artful manipulator of awareness".
Ari Wallach	not found
